Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	ORF	Symbol	ID
LINF_220022900	LINF_220022900-T1	Leishmania infantum JPCM5	"LinJ.22:734,402..736,252(+)"	hypothetical protein - conserved	protein coding	LinJ22.1480	N/A	4770808
LINF_220023000	LINF_220023000-T1	Leishmania infantum JPCM5	"LinJ.22:739,118..741,877(+)"	hypothetical protein - conserved	protein coding	LinJ22.1490	N/A	4770809
LINF_220023100	LINF_220023100-T1	Leishmania infantum JPCM5	"LinJ.22:742,483..744,618(+)"	phosphoinositide-specific phospholipase C - putative	protein coding	LinJ22.1500	N/A	4770810
LINF_230005000	LINF_230005000-T1	Leishmania infantum JPCM5	"LinJ.23:2,223..4,064(+)"	hypothetical protein - conserved	protein coding	LinJ23.0010	N/A	4770831
LINF_230005100	LINF_230005100-T1	Leishmania infantum JPCM5	"LinJ.23:5,825..6,976(+)"	hypothetical protein - conserved	protein coding	LinJ23.0020	N/A	4770832
LINF_230005200	LINF_230005200-T1	Leishmania infantum JPCM5	"LinJ.23:7,626..8,504(+)"	hypothetical protein - conserved	protein coding	LinJ23.0030	N/A	4770834
LINF_230005300	LINF_230005300-T1	Leishmania infantum JPCM5	"LinJ.23:8,867..10,300(+)"	beta propeller protein - putative	protein coding	LinJ23.0040	BPP1	4770835
LINF_230005400	LINF_230005400-T1	Leishmania infantum JPCM5	"LinJ.23:11,085..11,765(+)"	peroxidoxin	protein coding	LinJ23.0050	PRX1M	4770836
LINF_230005500	LINF_230005500-T1	Leishmania infantum JPCM5	"LinJ.23:12,577..13,467(+)"	cyclophilin 11 - putative	protein coding	LinJ23.0060	CYP11	4770837
LINF_230005600	LINF_230005600-T1	Leishmania infantum JPCM5	"LinJ.23:14,042..14,563(+)"	hypothetical protein - conserved	protein coding	LinJ23.0070	N/A	4770838
LINF_230005700	LINF_230005700-T1	Leishmania infantum JPCM5	"LinJ.23:15,070..16,068(+)"	agmatinase-like protein	protein coding	LinJ23.0080	N/A	4770839
LINF_230005800	LINF_230005800-T1	Leishmania infantum JPCM5	"LinJ.23:16,640..17,899(+)"	hypothetical protein - conserved	protein coding	LinJ23.0090	N/A	4770840
LINF_230005900	LINF_230005900-T1	Leishmania infantum JPCM5	"LinJ.23:19,449..20,489(+)"	Domain of unknown function (DUF1767) - putative	protein coding	LinJ23.0100	N/A	4770841
LINF_230006000	LINF_230006000-T1	Leishmania infantum JPCM5	"LinJ.23:21,331..22,113(+)"	Putative methyltransferase/Methyltransferase small domain/Methyltransferase domain containing protein - putative	protein coding	LinJ23.0110	N/A	4770842
LINF_230006100	LINF_230006100-T1	Leishmania infantum JPCM5	"LinJ.23:23,474..24,613(+)"	GDP-mannose pyrophosphorylase	protein coding	LinJ23.0120	GDPMP	4770843
LINF_230006200	LINF_230006200-T1	Leishmania infantum JPCM5	"LinJ.23:28,343..36,925(+)"	Concanavalin A-like lectin/glucanases superfamily/Beige/BEACH domain containing protein - putative	protein coding	LinJ23.0130	N/A	4770845
LINF_230006300	LINF_230006300-T1	Leishmania infantum JPCM5	"LinJ.23:40,097..40,675(+)"	cyclophilin 3 - putative	protein coding	LinJ23.0140	CyP3	4770846
LINF_230006400	LINF_230006400-T1	Leishmania infantum JPCM5	"LinJ.23:41,294..41,797(+)"	vacuolar type h+ ATPase subunit - putative	protein coding	LinJ23.0150	N/A	4770847
LINF_230006500	LINF_230006500-T1	Leishmania infantum JPCM5	"LinJ.23:43,832..45,064(+)"	Alpha/beta hydrolase family/alpha/beta hydrolase fold/Serine hydrolase - putative	protein coding	LinJ23.0160	N/A	4770848
LINF_230006600	LINF_230006600-T1	Leishmania infantum JPCM5	"LinJ.23:48,377..49,477(+)"	Leucine Rich repeat - putative	protein coding	LinJ23.0170	N/A	4770849
LINF_230006700	LINF_230006700-T1	Leishmania infantum JPCM5	"LinJ.23:50,192..51,772(+)"	hypothetical protein - conserved	protein coding	LinJ23.0180	N/A	4770850
LINF_230006800	LINF_230006800-T1	Leishmania infantum JPCM5	"LinJ.23:52,588..53,271(+)"	hypothetical protein - conserved	protein coding	LinJ23.0190	N/A	4770851
LINF_230006900	LINF_230006900-T1	Leishmania infantum JPCM5	"LinJ.23:53,988..54,803(+)"	hypothetical protein - conserved	protein coding	LinJ23.0200	N/A	4770852
LINF_230007000	LINF_230007000-T1	Leishmania infantum JPCM5	"LinJ.23:57,722..58,099(+)"	hypothetical protein - conserved	protein coding	LinJ23.0210	N/A	4770853
LINF_230007100	LINF_230007100-T1	Leishmania infantum JPCM5	"LinJ.23:59,823..60,314(+)"	endoribonuclease L-PSP (pb5) - putative	protein coding	LinJ23.0220	N/A	4770854
LINF_230007200	LINF_230007200-T1	Leishmania infantum JPCM5	"LinJ.23:63,719..68,431(+)"	pentamidine resistance protein 1	protein coding	LinJ23.0230	ABCC1	4770857
LINF_230007300	LINF_230007300-T1	Leishmania infantum JPCM5	"LinJ.23:71,824..76,512(+)"	pentamidine resistance protein 1	protein coding	LinJ23.0240	ABCC2	4770858
LINF_230007400	LINF_230007400-T1	Leishmania infantum JPCM5	"LinJ.23:79,315..79,773(+)"	hypothetical protein - conserved	protein coding	LinJ23.0250	N/A	4770859
LINF_230007500	LINF_230007500-T1	Leishmania infantum JPCM5	"LinJ.23:80,543..81,208(+)"	hypothetical protein - conserved	protein coding	LinJ23.0260	N/A	4770860
LINF_230007600	LINF_230007600-T1	Leishmania infantum JPCM5	"LinJ.23:84,785..85,342(+)"	hypothetical protein - conserved	protein coding	LinJ23.0270	N/A	4770861
LINF_230007700	LINF_230007700-T1	Leishmania infantum JPCM5	"LinJ.23:86,373..86,942(+)"	terbinafine resistance locus protein (yip1)	protein coding	LinJ23.0280	YIP1	4770862
LINF_230007800	LINF_230007800-T1	Leishmania infantum JPCM5	"LinJ.23:88,620..93,329(+)"	pentamidine resistance protein 1	protein coding	LinJ23.0290	MRPA	4770863
LINF_230007900	LINF_230007900-T1	Leishmania infantum JPCM5	"LinJ.23:94,266..95,522(+)"	argininosuccinate synthase - putative	protein coding	LinJ23.0300	N/A	4770864
LINF_230008000	LINF_230008000-T1	Leishmania infantum JPCM5	"LinJ.23:101,315..102,181(+)"	pteridine reductase 1	protein coding	LinJ23.0310	PTR1	4770865
LINF_230008100	LINF_230008100-T1	Leishmania infantum JPCM5	"LinJ.23:103,210..106,518(+)"	Zinc finger - C3HC4 type (RING finger) containing protein - putative	protein coding	LinJ23.0320	N/A	4770866
LINF_230008200	LINF_230008200-T1	Leishmania infantum JPCM5	"LinJ.23:107,487..108,482(+)"	Checkpoint protein HUS1	protein coding	LinJ23.0330	hus1	4770867
LINF_230008300	LINF_230008300-T1	Leishmania infantum JPCM5	"LinJ.23:110,019..110,702(+)"	tryptophanyl-tRNA synthetase - putative	protein coding	LinJ23.0340	N/A	4770868
LINF_230008400	LINF_230008400-T1	Leishmania infantum JPCM5	"LinJ.23:112,107..116,042(+)"	hypothetical protein - conserved	protein coding	LinJ23.0350	N/A	4770869
LINF_230008500	LINF_230008500-T1	Leishmania infantum JPCM5	"LinJ.23:117,478..118,299(+)"	hypothetical protein - conserved	protein coding	LinJ23.0360	N/A	4770871
LINF_230008600	LINF_230008600-T1	Leishmania infantum JPCM5	"LinJ.23:119,284..119,946(+)"	hypothetical protein - conserved	protein coding	LinJ23.0370	N/A	4770872
LINF_230008700	LINF_230008700-T1	Leishmania infantum JPCM5	"LinJ.23:120,756..121,082(+)"	(H+)-ATPase G subunit - putative	protein coding	LinJ23.0380	N/A	4770873
LINF_230008800	LINF_230008800-T1	Leishmania infantum JPCM5	"LinJ.23:124,197..125,081(+)"	hypothetical protein - conserved	protein coding	LinJ23.0390	N/A	4770874
LINF_230009100	LINF_230009100-T1	Leishmania infantum JPCM5	"LinJ.23:134,788..135,144(+)"	cytochrome c oxidase subunit 10 - putative	protein coding	LinJ23.0410	N/A	4770875
LINF_230009200	LINF_230009200-T1	Leishmania infantum JPCM5	"LinJ.23:138,134..141,874(+)"	ATP-binding cassette protein subfamily G - member 5	protein coding	LinJ23.0420	ABCG5	4770876
LINF_230009300	LINF_230009300-T1	Leishmania infantum JPCM5	"LinJ.23:143,488..149,439(+)"	hypothetical protein - conserved	protein coding	LinJ23.0430	N/A	4770877
LINF_230009350	LINF_230009350-T1	Leishmania infantum JPCM5	"LinJ.23:151,272..155,591(+)"	hypothetical protein - unknown function	protein coding	LinJ23.0440	N/A	4770878
LINF_230009400	LINF_230009400-T1	Leishmania infantum JPCM5	"LinJ.23:155,984..156,448(+)"	hypothetical protein - conserved	protein coding	LinJ23.0450	N/A	4770879
LINF_230009500	LINF_230009500-T1	Leishmania infantum JPCM5	"LinJ.23:158,070..159,296(+)"	aldose 1-epimerase-like protein	protein coding	LinJ23.0460	N/A	4770880
LINF_230009600	LINF_230009600-T1	Leishmania infantum JPCM5	"LinJ.23:161,560..162,513(+)"	hypothetical protein - conserved	protein coding	LinJ23.0470	N/A	4770881
LINF_230009700	LINF_230009700-T1	Leishmania infantum JPCM5	"LinJ.23:165,448..168,762(+)"	permease-like protein	protein coding	LinJ23.0480	N/A	4770882
LINF_230009800	LINF_230009800-T1	Leishmania infantum JPCM5	"LinJ.23:173,192..174,169(+)"	trypanothione synthetase - putative	protein coding	LinJ23.0490	N/A	4770883
LINF_230009900	LINF_230009900-T1	Leishmania infantum JPCM5	"LinJ.23:174,862..175,911(+)"	hypothetical protein - conserved	protein coding	LinJ23.0500	N/A	4770884
LINF_230010000	LINF_230010000-T1	Leishmania infantum JPCM5	"LinJ.23:176,860..181,113(+)"	hypothetical protein - conserved	protein coding	LinJ23.0510	N/A	4770885
LINF_230010200	LINF_230010200-T1	Leishmania infantum JPCM5	"LinJ.23:183,954..184,970(+)"	SNF1-related protein kinase regulatory subunit beta - putative	protein coding	LinJ23.0520	AMPKB	4770886
LINF_230010300	LINF_230010300-T1	Leishmania infantum JPCM5	"LinJ.23:185,960..186,814(+)"	hypothetical protein - conserved	protein coding	LinJ23.0530	N/A	4770887
LINF_230010400	LINF_230010400-T1	Leishmania infantum JPCM5	"LinJ.23:187,499..187,795(+)"	hypothetical protein - conserved	protein coding	LinJ23.0540	N/A	4770888
LINF_230010500	LINF_230010500-T1	Leishmania infantum JPCM5	"LinJ.23:189,444..190,508(+)"	SET domain containing protein - putative	protein coding	LinJ23.0550	N/A	4770892
LINF_230010600	LINF_230010600-T1	Leishmania infantum JPCM5	"LinJ.23:192,168..193,025(+)"	ribosomal RNA methyltransferase-like protein	protein coding	LinJ23.0560	N/A	4770893
LINF_230010700	LINF_230010700-T1	Leishmania infantum JPCM5	"LinJ.23:194,758..196,875(+)"	acetyl-CoA synthetase - putative	protein coding	LinJ23.0570	N/A	4770894
LINF_230010900	LINF_230010900-T1	Leishmania infantum JPCM5	"LinJ.23:200,241..203,447(+)"	5'-3' exoribonuclease C - putative	protein coding	LinJ23.0580	XRNC	4770895
LINF_230011000	LINF_230011000-T1	Leishmania infantum JPCM5	"LinJ.23:206,488..209,136(+)"	hypothetical protein - conserved	protein coding	LinJ23.0590	N/A	4770896
LINF_230011100	LINF_230011100-T1	Leishmania infantum JPCM5	"LinJ.23:211,180..212,577(+)"	oxidoreductase-like protein	protein coding	LinJ23.0600	N/A	4770897
LINF_230011200	LINF_230011200-T1	Leishmania infantum JPCM5	"LinJ.23:214,359..215,462(+)"	oxidoreductase-like protein	protein coding	LinJ23.0610	N/A	4770898
LINF_230011300	LINF_230011300-T1	Leishmania infantum JPCM5	"LinJ.23:216,753..217,787(+)"	hypothetical protein - conserved	protein coding	LinJ23.0620	N/A	4770899
LINF_230011400	LINF_230011400-T1	Leishmania infantum JPCM5	"LinJ.23:218,550..220,388(+)"	hypothetical protein - conserved	protein coding	LinJ23.0630	N/A	4770900
LINF_230011500	LINF_230011500-T1	Leishmania infantum JPCM5	"LinJ.23:220,910..222,715(+)"	poly(A)-specific ribonuclease PARN - putative	protein coding	LinJ23.0640	N/A	4770901
LINF_230012700	LINF_230012700-T1	Leishmania infantum JPCM5	"LinJ.23:225,926..235,957(-)"	Galactose oxidase - central domain containing protein - putative	protein coding	LinJ23.0650	N/A	4770902
LINF_230012800	LINF_230012800-T1	Leishmania infantum JPCM5	"LinJ.23:239,266..239,739(-)"	Putative tRNA binding domain containing protein - putative	protein coding	LinJ23.0660	N/A	4770903
LINF_230012900	LINF_230012900-T1	Leishmania infantum JPCM5	"LinJ.23:240,304..241,446(-)"	metallo-beta-lactamase family protein-like protein	protein coding	LinJ23.0670	N/A	4770904
LINF_230013000	LINF_230013000-T1	Leishmania infantum JPCM5	"LinJ.23:244,590..245,300(-)"	PAP2 superfamily - putative	protein coding	LinJ23.0680	N/A	4770905
LINF_230013100	LINF_230013100-T1	Leishmania infantum JPCM5	"LinJ.23:248,848..251,982(-)"	ubiquitin-activating enzyme E1 - putative	protein coding	LinJ23.0690	N/A	4770906
LINF_230013200	LINF_230013200-T1	Leishmania infantum JPCM5	"LinJ.23:256,300..258,270(-)"	kinesin - putative	protein coding	LinJ23.0700	KIN-C	4770907
LINF_230013300	LINF_230013300-T1	Leishmania infantum JPCM5	"LinJ.23:260,625..263,843(-)"	MYCBP-associated protein family - putative	protein coding	LinJ23.0710	N/A	4770908
LINF_230013400	LINF_230013400-T1	Leishmania infantum JPCM5	"LinJ.23:265,022..268,228(-)"	hypothetical protein - conserved	protein coding	LinJ23.0720	N/A	4770909
LINF_230013500	LINF_230013500-T1	Leishmania infantum JPCM5	"LinJ.23:270,149..271,381(-)"	hypothetical protein - conserved	protein coding	LinJ23.0730	N/A	4770910
LINF_230013600	LINF_230013600-T1	Leishmania infantum JPCM5	"LinJ.23:274,577..275,362(-)"	hypothetical protein - conserved	protein coding	LinJ23.0740	N/A	4770911
LINF_230013700	LINF_230013700-T1	Leishmania infantum JPCM5	"LinJ.23:279,693..280,535(-)"	hypothetical protein - conserved	protein coding	LinJ23.0750	N/A	4770912
LINF_230013800	LINF_230013800-T1	Leishmania infantum JPCM5	"LinJ.23:283,367..285,409(-)"	WD domain - G-beta repeat/BING4CT (NUC141) domain containing protein - putative	protein coding	LinJ23.0760	N/A	4770913
LINF_230014000	LINF_230014000-T1	Leishmania infantum JPCM5	"LinJ.23:298,753..302,352(-)"	Exocyst complex component Sec10 - putative	protein coding	LinJ23.0770	N/A	4770914
LINF_230014100	LINF_230014100-T1	Leishmania infantum JPCM5	"LinJ.23:305,857..307,527(-)"	hypothetical protein - conserved	protein coding	LinJ23.0780	N/A	4770915
LINF_230014200	LINF_230014200-T1	Leishmania infantum JPCM5	"LinJ.23:309,024..309,677(-)"	spliceosomal U5 snRNP-specific protein - putative	protein coding	LinJ23.0790	N/A	4770916
LINF_230014300	LINF_230014300-T1	Leishmania infantum JPCM5	"LinJ.23:311,705..314,362(-)"	hypothetical protein - conserved	protein coding	LinJ23.0800	N/A	4770917
LINF_230014400	LINF_230014400-T1	Leishmania infantum JPCM5	"LinJ.23:315,982..317,106(-)"	oxidoreductase-like protein	protein coding	LinJ23.0810	N/A	4770918
LINF_230014500	LINF_230014500-T1	Leishmania infantum JPCM5	"LinJ.23:319,309..320,910(-)"	mitochondrial DNA primase - putative	protein coding	LinJ23.0820	PRI1	4770919
LINF_230014600	LINF_230014600-T1	Leishmania infantum JPCM5	"LinJ.23:324,965..326,290(-)"	3-ketoacyl-CoA thiolase - putative	protein coding	LinJ23.0830	N/A	4770920
LINF_230014700	LINF_230014700-T1	Leishmania infantum JPCM5	"LinJ.23:327,609..327,950(-)"	Cytochrome C oxidase copper chaperone (COX17) - putative	protein coding	LinJ23.0840	N/A	4770922
LINF_230014800	LINF_230014800-T1	Leishmania infantum JPCM5	"LinJ.23:331,833..333,920(-)"	acetyl-CoA synthetase - putative	protein coding	LinJ23.0850	N/A	4770924
LINF_230014900	LINF_230014900-T1	Leishmania infantum JPCM5	"LinJ.23:341,656..343,419(-)"	RNA recognition motif. (a.k.a. RRM - RBD - or RNP domain)/RNA recognition motif (a.k.a. RRM - RBD - or RNP domain) - putative	protein coding	LinJ23.0860	N/A	4770925
LINF_230015000	LINF_230015000-T1	Leishmania infantum JPCM5	"LinJ.23:355,456..357,255(-)"	RNA-binding protein - putative	protein coding	LinJ23.0870	N/A	4770926
LINF_230015100	LINF_230015100-T1	Leishmania infantum JPCM5	"LinJ.23:362,481..364,055(-)"	50S ribosome-binding GTPase/Dynamin family - putative	protein coding	LinJ23.0880	N/A	4770927
LINF_230015400	LINF_230015400-T1	Leishmania infantum JPCM5	"LinJ.23:371,996..373,042(-)"	mitochondrial RNA binding protein - putative	protein coding	LinJ23.0900	RBP38	4770929
LINF_230015500	LINF_230015500-T1	Leishmania infantum JPCM5	"LinJ.23:375,517..379,746(-)"	hypothetical protein - conserved	protein coding	LinJ23.0910	N/A	4770930
LINF_230015800	LINF_230015800-T1	Leishmania infantum JPCM5	"LinJ.23:392,174..393,304(-)"	hypothetical protein - conserved	protein coding	LinJ23.0940	N/A	4770931
LINF_230015900	LINF_230015900-T1	Leishmania infantum JPCM5	"LinJ.23:394,736..396,295(-)"	actin interacting protein-like protein	protein coding	LinJ23.0950	N/A	4770932
LINF_230016000	LINF_230016000-T1	Leishmania infantum JPCM5	"LinJ.23:397,215..398,582(-)"	SET domain containing protein - putative	protein coding	LinJ23.0960	N/A	4770933
LINF_230016100	LINF_230016100-T1	Leishmania infantum JPCM5	"LinJ.23:400,300..404,802(-)"	Na/H antiporter-like protein	protein coding	LinJ23.0970	N/A	4770934
LINF_230016200	LINF_230016200-T1	Leishmania infantum JPCM5	"LinJ.23:407,687..408,946(-)"	hypothetical protein	protein coding	LinJ23.0980	N/A	4770935
LINF_230016400	LINF_230016400-T1	Leishmania infantum JPCM5	"LinJ.23:416,288..417,871(-)"	hypothetical protein - conserved	protein coding	LinJ23.0990	N/A	4770936
LINF_230016750	LINF_230016750-T1	Leishmania infantum JPCM5	"LinJ.23:422,941..425,271(-)"	hypothetical protein - conserved	protein coding	LinJ23.1000	N/A	4770937
LINF_230016800	LINF_230016800-T1	Leishmania infantum JPCM5	"LinJ.23:426,403..427,425(-)"	alcohol dehydrogenase - zinc-containing-like protein	protein coding	LinJ23.1010	N/A	4770938
LINF_230017000	LINF_230017000-T1	Leishmania infantum JPCM5	"LinJ.23:429,693..431,333(-)"	sucrose hydrolase-like protein	protein coding	LinJ23.1020	N/A	4770939
LINF_230017300	LINF_230017300-T1	Leishmania infantum JPCM5	"LinJ.23:456,591..457,934(-)"	Putative S-adenosyl-L-methionine-dependent methyltransferase - putative	protein coding	LinJ23.1040	N/A	4770942
LINF_230017400	LINF_230017400-T1	Leishmania infantum JPCM5	"LinJ.23:458,907..467,531(-)"	hypothetical protein - conserved	protein coding	LinJ23.1050	N/A	4770944
LINF_230017500	LINF_230017500-T1	Leishmania infantum JPCM5	"LinJ.23:468,380..470,507(-)"	Helicase conserved C-terminal domain containing protein - putative	protein coding	LinJ23.1060	N/A	4770946
LINF_230017700	LINF_230017700-T1	Leishmania infantum JPCM5	"LinJ.23:472,987..473,460(-)"	hypothetical protein - conserved	protein coding	LinJ23.1070	N/A	4770948
LINF_230017900	LINF_230017900-T1	Leishmania infantum JPCM5	"LinJ.23:477,466..479,541(-)"	Chitobiase/beta-hexosaminidase C-terminal domain containing protein - putative	protein coding	LinJ23.1090	N/A	4770950
LINF_230018000	LINF_230018000-T1	Leishmania infantum JPCM5	"LinJ.23:481,859..483,025(-)"	hypothetical protein - conserved	protein coding	LinJ23.1100	N/A	4770951
LINF_230018100	LINF_230018100-T1	Leishmania infantum JPCM5	"LinJ.23:485,406..486,326(-)"	hypothetical protein - conserved	protein coding	LinJ23.1110	N/A	4770952
LINF_230018200	LINF_230018200-T1	Leishmania infantum JPCM5	"LinJ.23:488,042..490,291(-)"	hypothetical protein - conserved	protein coding	LinJ23.1120	N/A	4770953
LINF_230018300	LINF_230018300-T1	Leishmania infantum JPCM5	"LinJ.23:492,675..493,373(-)"	hypothetical protein - conserved	protein coding	LinJ23.1130	N/A	4770955
LINF_230018400	LINF_230018400-T1	Leishmania infantum JPCM5	"LinJ.23:496,657..499,977(-)"	hypothetical protein - conserved	protein coding	LinJ23.1140	N/A	4770956
LINF_230018500	LINF_230018500-T1	Leishmania infantum JPCM5	"LinJ.23:505,717..506,112(-)"	hypothetical protein - conserved	protein coding	LinJ23.1150	N/A	4770957
LINF_230018600	LINF_230018600-T1	Leishmania infantum JPCM5	"LinJ.23:508,832..509,074(-)"	hydrophilic acylated surface protein a	protein coding	LinJ23.1160	HASPA1	4770959
LINF_230018700	LINF_230018700-T1	Leishmania infantum JPCM5	"LinJ.23:512,504..513,247(-)"	hydrophilic acylated surface protein b	protein coding	LinJ23.1180	HASPB	4770962
LINF_230018900	LINF_230018900-T1	Leishmania infantum JPCM5	"LinJ.23:516,679..516,921(-)"	hydrophilic acylated surface protein a	protein coding	LinJ23.1200	HASPA2	4770964
LINF_230019000	LINF_230019000-T1	Leishmania infantum JPCM5	"LinJ.23:518,261..519,934(-)"	hypothetical protein - conserved	protein coding	LinJ23.1210	N/A	4770965
LINF_230019100	LINF_230019100-T1	Leishmania infantum JPCM5	"LinJ.23:521,211..523,289(-)"	hypothetical protein - conserved	protein coding	LinJ23.1220	N/A	4770966
LINF_230019200	LINF_230019200-T1	Leishmania infantum JPCM5	"LinJ.23:523,949..525,298(-)"	5-formyltetrahydrofolate cyclo-ligase family - putative	protein coding	LinJ23.1230	N/A	4770967
LINF_230019300	LINF_230019300-T1	Leishmania infantum JPCM5	"LinJ.23:526,024..527,079(-)"	Scavenger mRNA decapping enzyme C-term binding/HIT domain containing protein - putative	protein coding	LinJ23.1240	N/A	4770968
LINF_230019400	LINF_230019400-T1	Leishmania infantum JPCM5	"LinJ.23:527,867..529,228(-)"	hypothetical protein - conserved	protein coding	LinJ23.1250	N/A	4770969
LINF_230019500	LINF_230019500-T1	Leishmania infantum JPCM5	"LinJ.23:530,136..532,154(-)"	Probable methyltransferase BTM2 homolog	protein coding	LinJ23.1260	N/A	4770970
LINF_230019600	LINF_230019600-T1	Leishmania infantum JPCM5	"LinJ.23:533,636..535,099(-)"	hypothetical protein - conserved	protein coding	LinJ23.1270	N/A	4770973
LINF_230019700	LINF_230019700-T1	Leishmania infantum JPCM5	"LinJ.23:542,249..544,621(-)"	hypothetical protein - conserved	protein coding	LinJ23.1280	N/A	4770974
LINF_230019800	LINF_230019800-T1	Leishmania infantum JPCM5	"LinJ.23:546,235..548,301(-)"	hypothetical protein - conserved	protein coding	LinJ23.1290	N/A	4770975
LINF_230019900	LINF_230019900-T1	Leishmania infantum JPCM5	"LinJ.23:549,751..551,730(-)"	hypothetical protein - conserved	protein coding	LinJ23.1300	N/A	4770976
LINF_230020000	LINF_230020000-T1	Leishmania infantum JPCM5	"LinJ.23:553,589..554,920(-)"	hypothetical protein - conserved	protein coding	LinJ23.1310	N/A	4770977
LINF_230020100	LINF_230020100-T1	Leishmania infantum JPCM5	"LinJ.23:556,570..560,619(-)"	hypothetical protein - conserved	protein coding	LinJ23.1320	N/A	4770978
LINF_230020200	LINF_230020200-T1	Leishmania infantum JPCM5	"LinJ.23:562,994..564,838(-)"	hypothetical protein - conserved	protein coding	LinJ23.1330	N/A	4770979
LINF_230020300	LINF_230020300-T1	Leishmania infantum JPCM5	"LinJ.23:565,281..566,681(-)"	hypothetical protein - conserved	protein coding	LinJ23.1340	N/A	4770980
LINF_230020400	LINF_230020400-T1	Leishmania infantum JPCM5	"LinJ.23:572,032..572,403(+)"	hypothetical protein - conserved	protein coding	LinJ23.1350	N/A	4770981
LINF_230020500	LINF_230020500-T1	Leishmania infantum JPCM5	"LinJ.23:572,685..574,217(+)"	coronin - putative	protein coding	LinJ23.1360	CRN12	4770982
LINF_230020600	LINF_230020600-T1	Leishmania infantum JPCM5	"LinJ.23:575,429..576,484(+)"	hypothetical protein - conserved	protein coding	LinJ23.1370	N/A	4770983
LINF_230020700	LINF_230020700-T1	Leishmania infantum JPCM5	"LinJ.23:576,888..577,253(+)"	Uncharacterised protein family UPF0546/EamA-like transporter family - putative	protein coding	LinJ23.1380	N/A	4770984
LINF_230020800	LINF_230020800-T1	Leishmania infantum JPCM5	"LinJ.23:577,879..579,477(+)"	membrane-bound acid phosphatase 2	protein coding	LinJ23.1390	MBAP2	4770985
LINF_230020900	LINF_230020900-T1	Leishmania infantum JPCM5	"LinJ.23:581,367..582,836(+)"	S-adenosyl-methyltransferase mraW-like protein	protein coding	LinJ23.1400	N/A	4770986
LINF_230021000	LINF_230021000-T1	Leishmania infantum JPCM5	"LinJ.23:583,868..584,830(+)"	sir2-family protein-like protein	protein coding	LinJ23.1410	N/A	4770988
LINF_230021100	LINF_230021100-T1	Leishmania infantum JPCM5	"LinJ.23:586,226..587,881(+)"	T-complex protein 1 - gamma subunit - putative	protein coding	LinJ23.1420	N/A	4770989
LINF_230021200	LINF_230021200-T1	Leishmania infantum JPCM5	"LinJ.23:590,143..590,376(+)"	hypothetical protein - conserved	protein coding	LinJ23.1430	N/A	4770990
LINF_230021300	LINF_230021300-T1	Leishmania infantum JPCM5	"LinJ.23:591,546..593,696(+)"	hypothetical protein - conserved	protein coding	LinJ23.1440	N/A	4770991
LINF_230021400	LINF_230021400-T1	Leishmania infantum JPCM5	"LinJ.23:595,040..599,125(+)"	Protein of unknown function (DUF3250) - putative	protein coding	LinJ23.1450	N/A	4770993
LINF_230021600	LINF_230021600-T1	Leishmania infantum JPCM5	"LinJ.23:602,440..607,017(+)"	Rapamycin-insensitive companion of mTOR - N-term/Rapamycin-insensitive companion of mTOR - middle domain/Rapamycin-insensitive companion of mTOR RasGEF N domain containing protein - putative	protein coding	LinJ23.1460	AVO3	4770994
LINF_230021700	LINF_230021700-T1	Leishmania infantum JPCM5	"LinJ.23:607,879..608,688(+)"	hypothetical protein - conserved	protein coding	LinJ23.1470	N/A	4770995
LINF_230021800	LINF_230021800-T1	Leishmania infantum JPCM5	"LinJ.23:609,660..610,796(+)"	hypothetical protein - conserved	protein coding	LinJ23.1480	N/A	4770996
LINF_230022000	LINF_230022000-T1	Leishmania infantum JPCM5	"LinJ.23:615,210..618,257(+)"	XPG N-terminal domain/XPG I-region - putative	protein coding	LinJ23.1490	N/A	4770997
LINF_230022100	LINF_230022100-T1	Leishmania infantum JPCM5	"LinJ.23:620,945..624,850(+)"	hypothetical protein - conserved	protein coding	LinJ23.1500	N/A	4770998
LINF_230022200	LINF_230022200-T1	Leishmania infantum JPCM5	"LinJ.23:628,604..630,673(+)"	hypothetical protein - conserved	protein coding	LinJ23.1510	N/A	4770999
LINF_230022300	LINF_230022300-T1	Leishmania infantum JPCM5	"LinJ.23:632,931..633,839(+)"	lathosterol oxidase-like protein	protein coding	LinJ23.1520	N/A	4771000
LINF_230022400	LINF_230022400-T1	Leishmania infantum JPCM5	"LinJ.23:636,927..651,200(+)"	dynein heavy chain - putative	protein coding	LinJ23.1530	N/A	4771001
LINF_230022500	LINF_230022500-T1	Leishmania infantum JPCM5	"LinJ.23:652,649..653,218(+)"	YceI-like domain containing protein - putative	protein coding	LinJ23.1540	N/A	4771002
LINF_230022700	LINF_230022700-T1	Leishmania infantum JPCM5	"LinJ.23:664,266..666,602(+)"	hypothetical protein - conserved	protein coding	LinJ23.1560	N/A	4771004
LINF_230022800	LINF_230022800-T1	Leishmania infantum JPCM5	"LinJ.23:667,483..669,612(+)"	Elongator-like Protein 3b - putative	protein coding	LinJ23.1570	N/A	4771005
LINF_230022900	LINF_230022900-T1	Leishmania infantum JPCM5	"LinJ.23:670,716..671,963(+)"	hypothetical protein - conserved	protein coding	LinJ23.1580	N/A	4771006
